node,Exact Solution cost,Exact Solution computation,Heuristic Solution cost,Heuristic Solution computation
20,119,23.088,151,0.0012
21,142,130.05,196,0.0011
22,149,63.721,214,0.0016
23,137,30.997,189,0.0018
24,172,10.479,260,0.0014
25,111,20.578,152,0.0034
26,142,84.571,182,0.0015
27,158,79.879,204,0.0019
28,180,25.429,283,0.0021
29,130,49.879,169,0.0015
30,120,26.859,161,0.0019
31,137,44.096,200,0.0036
32,175,123.82,280,0.0041
33,142,143.75,190,0.0038
34,165,127.92,210,0.0035
35,210,100.87,305,0.0029
36,160,201.69,215,0.0044
37,170,737.66,256,0.0067
38,157,239.46,222,0.0042
39,122,422.12,163,0.0069
40,165,267.27,230,0.0044
41,157,270.35,225,0.0039
42,240,310.59,309,0.0049
43,177,324.78,241,0.0046
44,126,307.42,166,0.0087
45,166,275.59,231,0.0049
46,177,302.15,212,0.0064
47,145,243.15,206,0.0034
48,180,419.74,260,0.0096
49,164,983.75,210,0.0451
50,165,1134.51,190,0.0212
51,157,695.75,216,0.0127
52,167,1257.45,215,0.0256
53,127,1001.74,189,0.0154
54,156,915.45,204,0.0231
55,150,1000.98,202,0.0195
56,158,998.758,208,0.0235
57,166,1987.85,210,0.0263
58,154,1112.15,204,0.0202
59,159,2001.31,240,0.0311
60,157,2436.95,207,0.0341
61,175,2152.97,261,0.0317
62,165,1414.75,214,0.0237
63,190,2614.25,269,0.0457
64,163,2469.74,230,0.0361
65,163,1736.52,222,0.0286
66,192,2912.14,283,0.0571
67,182,3200.45,245,0.0397
68,169,2185.95,235,0.0336
69,147,3279.45,193,0.0464
70,170,2440.39,233,0.0359
71,143,3791.45,193,0.0689
72,166,3752.85,229,0.0431
73,175,4569.16,250,0.0635
74,147,4250.78,220,0.0592
75,190,4921.31,249,0.0692
76,178,5012.47,210,0.0864
77,140,4789.25,190,0.0358
78,210,5920.78,270,0.0957
79,240,6987.53,290,0.1658
80,160,6925.41,210,0.0855
81,202,7854.75,250,0.1699
82,174,4961.01,229,0.0781
83,175,4222.74,235,0.0664
84,184,5674.89,238,0.1047
85,230,7895.41,280,0.1955
86,197,6001.52,251,0.1216
87,175,8452.63,230,0.2854
88,191,6437.62,244,0.1454
89,187,7259.12,241,0.1956
90,166,8762.42,260,0.2985
91,240,9456.25,290,0.3753
92,191,8037.38,253,0.2591
93,240,10000.37,290,0.3472
94,150,10110.56,190,0.4257
95,183,11456.74,230,0.4877
96,210,12741.45,260,0.5858
97,170,12957.74,240,0.5959
98,160,13559.74,200,0.9877
99,140,14954.42,190,0.6758
100,170,14523.26,220,0.6745
